path,latency,noise,SNR
B->D->E->F,0.007057825308488053,1.4115650616976108e-09,58.50299099603451
B->D->F->E,0.00710644445099874,1.4212888901997482e-09,58.47317638703102
B->F->E->D,0.007132273432008606,1.4264546864017213e-09,58.45742019841646
A->C->E->F,0.0072318044173059,1.44636088346118e-09,58.397233321166915
B->A->D->C->E,0.007242252820130708,1.4484505640261419e-09,58.390963227847166
D->B->F->E,0.007289882968351459,1.457976593670292e-09,58.362494481177905
B->A->D->E->C,0.007343420458864691,1.4686840917729386e-09,58.33071609215893
A->B->D->C->E,0.007399862356473562,1.4799724712947125e-09,58.29746362764496
A->B->D->E->C,0.007501029995207544,1.5002059990415091e-09,58.23849102208062
C->D->A->B->F,0.007610486803493723,1.5220973606987449e-09,58.17557567104296
A->B->F->D->C,0.00765910594600441,1.531821189200882e-09,58.14791927311536
B->F->D->C->E,0.00765910594600441,1.5318211892008822e-09,58.14791927311536
E->D->A->B->F,0.007711654442227706,1.5423308884455413e-09,58.11822443658571
A->B->F->D->E,0.007760273584738392,1.5520547169476785e-09,58.09092971963425
B->F->D->E->C,0.007760273584738392,1.5520547169476785e-09,58.09092971963425
E->C->D->B->F,0.007768096339836576,1.5536192679673156e-09,58.08655401287774
B->A->C->E->D,0.007811185427524999,1.562237085505e-09,58.062530568139216
B->A->C->D->E,0.007846194112290625,1.5692388224581251e-09,58.04310956105351
C->E->D->B->F,0.00786926397857056,1.573852795714112e-09,58.03035890146398
B->A->C->D->F,0.00789481325480131,1.5789626509602625e-09,58.01628142742625
D->B->A->C->E,0.007968794963867851,1.5937589927735704e-09,57.97577351711588
A->C->E->D->F,0.007995980893535294,1.599196178707059e-09,57.96098256639077
E->C->A->D->F,0.007995980893535294,1.599196178707059e-09,57.96098256639077
E->C->A->B->F,0.008043243087388404,1.6086486174776813e-09,57.93538809944546
D->C->A->B->F,0.00807825177215403,1.6156503544308066e-09,57.91652619781172
A->C->E->D->B,0.00810497128736746,1.6209942574734924e-09,57.902185236783154
B->D->A->C->E,0.008104971287367459,1.6209942574734924e-09,57.902185236783154
C->A->B->D->E,0.00810497128736746,1.6209942574734924e-09,57.902185236783154
C->A->B->D->F,0.008153590429878147,1.6307180859756297e-09,57.87621112097398
C->A->B->F->D,0.0082280385533987,1.6456077106797402e-09,57.83673686372996
A->C->D->F->B,0.008263047238164326,1.6526094476328655e-09,57.81829768799051
B->F->D->A->C,0.008364214876898307,1.6728429753796617e-09,57.765448230105044
A->C->D->B->F,0.008372037631996492,1.6744075263992989e-09,57.76138832527505
C->A->D->B->F,0.008473205270730474,1.6946410541460954e-09,57.70922276642025
A->D->C->E->F,0.008566815086377586,1.7133630172755175e-09,57.661506115255825
B->A->D->E->F,0.008667982725111567,1.733596545022314e-09,57.6105196721618
A->D->F->E->C,0.008716601867622256,1.743320373524451e-09,57.58622794376904
B->A->D->F->E,0.008716601867622254,1.7433203735244513e-09,57.58622794376903
B->D->C->E->F,0.00872442462272044,1.744884924544088e-09,57.58233209554917
A->B->F->E->C,0.008763864061475366,1.7527728122950732e-09,57.562743718472824
B->F->E->C->D,0.008798872746240992,1.7597745492481985e-09,57.54542967577386
A->B->D->E->F,0.00882559226145442,1.7651184522908845e-09,57.5322614497862
A->B->D->F->E,0.008874211403965108,1.7748422807930218e-09,57.50840233946703
B->D->F->E->C,0.008874211403965108,1.774842280793022e-09,57.50840233946703
A->B->F->E->D,0.008900040384974973,1.780008076994995e-09,57.4957802702459
D->A->B->F->E,0.008900040384974973,1.7800080769949952e-09,57.4957802702459
B->F->E->D->C,0.008935049069740601,1.7870098139481202e-09,57.47873062417796
B->A->C->E->F,0.008999571370272267,1.799914274054454e-09,57.447481788920776
A->D->E->F->B,0.009036216708474583,1.8072433416949167e-09,57.42983366619994
C->E->F->B->D,0.009057649921317827,1.8115299842635657e-09,57.419544731710175
C->D->B->F->E,0.009092658606083453,1.818531721216691e-09,57.40279119008931
D->A->C->E->F,0.009135747693771876,1.8271495387543755e-09,57.38225907382987
A->C->D->E->F,0.009170756378537502,1.8341512757075007e-09,57.36564847785062
A->C->E->F->D,0.009184366836282563,1.8368733672565128e-09,57.35920782614916
A->D->B->F->E,0.009193826244817436,1.8387652489634875e-09,57.35473712625671
A->C->D->F->E,0.009219375521048189,1.843875104209638e-09,57.342684994372505
C->A->D->E->F,0.009271924017271484,1.8543848034542972e-09,57.31800140376912
C->A->D->F->E,0.00932054315978217,1.8641086319564347e-09,57.29528782494622
C->A->B->F->E,0.009367805353635282,1.8735610707270565e-09,57.27332146046301
A->C->E->F->B,0.009367805353635282,1.8735610707270565e-09,57.27332146046301
E->C->D->A->B->F,0.009378253756460092,1.8756507512920185e-09,57.26848024649398
A->B->F->D->C->E,0.009426872898970779,1.885374579794156e-09,57.24602352738604
C->E->D->A->B->F,0.009479421395194074,1.8958842790388152e-09,57.221881746501914
A->B->F->D->E->C,0.00952804053770476,1.905608107540952e-09,57.19966408121579
B->A->C->E->D->F,0.009763747846501662,1.952749569300333e-09,57.09353449310549
E->C->A->B->D->F,0.009921357382844515,1.984271476568904e-09,57.02398910452898
D->E->C->A->B->F,0.009947186363854381,1.9894372727708765e-09,57.012697496660934
E->D->C->A->B->F,0.009982195048620008,1.996439009724002e-09,56.99743952759854
D->F->B->A->C->E,0.009995805506365068,1.999161101273014e-09,56.99152207095109
A->C->E->D->F->B,0.010131981829864677,2.0263963659729354e-09,56.93275602056492
B->F->D->A->C->E,0.010131981829864675,2.0263963659729354e-09,56.93275602056492
C->A->B->F->D->E,0.010131981829864677,2.026396365972936e-09,56.932756020564916
E->C->A->D->B->F,0.010240972223696843,2.048194444739369e-09,56.88628816119657
A->C->E->D->B->F,0.010240972223696843,2.048194444739369e-09,56.88628816119657
B->A->D->C->E->F,0.010334582039343954,2.066916407868791e-09,56.84677087153755
B->A->D->F->E->C,0.010484368820588622,2.096873764117725e-09,56.78427714120875
A->B->D->C->E->F,0.010492191575686807,2.0984383151373617e-09,56.78103792613655
A->B->F->E->C->D,0.010566639699207361,2.113327939841472e-09,56.750331052133596
A->B->D->F->E->C,0.010641978356931477,2.1283956713862957e-09,56.71947632990577
C->E->F->B->A->D,0.010667807337941343,2.133561467588269e-09,56.70894840665059
A->D->C->E->F->B,0.010702816022706969,2.140563204541394e-09,56.694719442004704
C->D->A->B->F->E,0.010702816022706969,2.140563204541394e-09,56.694719442004704
A->B->F->E->D->C,0.010702816022706969,2.140563204541394e-09,56.694719442004704
B->A->C->D->E->F,0.010938523331503872,2.1877046663007744e-09,56.60011306860081
B->A->C->E->F->D,0.010952133789248931,2.190426757849787e-09,56.594712639162886
